service_id,date,exception_type
FR,20150510,2
FR,20150511,2
FR,20150512,2
FR,20150513,2
FR,20150514,2
FR,20150515,1
FR,20150516,2
FR,20150517,2
FR,20150518,2
FR,20150519,2
FR,20150520,2
FR,20150521,2
FR,20150522,1
FR,20150523,2
FR,20150524,2
FR,20150525,2
FR,20150526,2
FR,20150527,2
FR,20150528,2
FR,20150529,1
FR,20150530,2
FR,20150531,2
FR,20150601,2
FR,20150602,2
FR,20150603,2
FR,20150604,2
FR,20150605,1
FR,20150606,2
FR,20150607,2
FR,20150608,2
FR,20150609,2
FR,20150610,2
FR,20150611,2
FR,20150612,1
FR,20150613,2
FR,20150614,2
FR,20150615,2
FR,20150616,2
FR,20150617,2
FR,20150618,2
FR,20150619,1
FR,20150620,2
FR,20150621,2
FR,20150622,2
FR,20150623,2
FR,20150624,2
FR,20150625,2
FR,20150626,1
FR,20150627,2
FR,20150628,2
FR,20150629,2
FR,20150630,2
FR,20150701,2
FR,20150702,2
FR,20150703,2
FR,20150704,2
FR,20150705,2
FR,20150706,2
FR,20150707,2
FR,20150708,2
FR,20150709,2
FR,20150710,1
FR,20150711,2
FR,20150712,2
FR,20150713,2
FR,20150714,2
FR,20150715,2
FR,20150716,2
FR,20150717,1
FR,20150718,2
FR,20150719,2
FR,20150720,2
FR,20150721,2
FR,20150722,2
FR,20150723,2
FR,20150724,1
FR,20150725,2
FR,20150726,2
FR,20150727,2
FR,20150728,2
FR,20150729,2
FR,20150730,2
FR,20150731,1
FR,20150801,2
FR,20150802,2
FR,20150803,2
FR,20150804,2
FR,20150805,2
FR,20150806,2
FR,20150807,1
FR,20150808,2
FR,20150809,2
FR,20150810,2
FR,20150811,2
FR,20150812,2
FR,20150813,2
FR,20150814,1
FR,20150815,2
MT,20150510,2
MT,20150511,1
MT,20150512,1
MT,20150513,1
MT,20150514,1
MT,20150515,2
MT,20150516,2
MT,20150517,2
MT,20150518,1
MT,20150519,1
MT,20150520,1
MT,20150521,1
MT,20150522,2
MT,20150523,2
MT,20150524,2
MT,20150525,2
MT,20150526,1
MT,20150527,1
MT,20150528,1
MT,20150529,2
MT,20150530,2
MT,20150531,2
MT,20150601,1
MT,20150602,1
MT,20150603,1
MT,20150604,1
MT,20150605,2
MT,20150606,2
