route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
0,0,South Broadway,This Route Travels Northbound & Southbound,3,http://www3.rtd-denver.com/,008FBF,FFFFFF
0L,0L,South Broadway Limited,This Route Travels Northbound & Southbound,3,http://www3.rtd-denver.com/,F63440,FFFFFF
1,1,West 1st Avenue,This Route Travels Eastbound & Westbound,3,http://www3.rtd-denver.com/,008FBF,FFFFFF
10,10,East 12th Avenue,This Route Travels Eastbound & Westbound,3,http://www3.rtd-denver.com/,008FBF,FFFFFF
100,100,Kipling Street,This Route Travels Northbound & Southbound,3,http://www3.rtd-denver.com/,008FBF,FFFFFF
100X,100X,South Kipling Express,This Route Travels Eastbound & Westbound,3,http://www3.rtd-denver.com/,F63440,FFFFFF
101C,C Line,Light Rail C Line,This Route Travels Northbound & Southbound,0,http://www3.rtd-denver.com/schedules/getRouteList.action?routeType=2,F79239,FFFFFF
101D,D Line,Light Rail D Line,This Route Travels Northbound & Southbound,0,http://www3.rtd-denver.com/schedules/getRouteList.action?routeType=2,008348,FFFFFF
101E,E Line,Light Rail E Line,This Route Travels Northbound & Southbound,0,http://www3.rtd-denver.com/schedules/getRouteList.action?routeType=2,552683,FFFFFF
101F,F Line,Light Rail F Line,This Route Travels Northbound & Southbound,0,http://www3.rtd-denver.com/schedules/getRouteList.action?routeType=2,EE3E33,FFFFFF
101H,H Line,Light Rail H Line,This Route Travels Northbound & Southbound,0,http://www3.rtd-denver.com/schedules/getRouteList.action?routeType=2,0075BE,FFFFFF
103W,W Line,Light Rail West Line W Line,This Route Travels Eastbound & Westbound,0,http://www3.rtd-denver.com/schedules/getRouteList.action?routeType=2,009DAA,FFFFFF
104,104,West 104th Avenue,This Route Travels Eastbound & Westbound,3,http://www3.rtd-denver.com/,008FBF,FFFFFF
104X,104X,Commerce City / Denver Express,This Route Travels Northbound & Southbound,3,http://www3.rtd-denver.com/,F63440,FFFFFF
105,105,Havana Street,This Route Travels Northbound & Southbound,3,http://www3.rtd-denver.com/,008FBF,FFFFFF
11,11,Mississippi Avenue,This Route Travels Eastbound & Westbound,3,http://www3.rtd-denver.com/,008FBF,FFFFFF
