stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
10007,W 100th Ave & Pecos St,Vehicles Travelling West, 39.878638,-105.006153,,,0
10008,W 100th Ave & Ura Ln,Vehicles Travelling East, 39.877913,-105.011188,,,0
10009,W 100th Ave & Ura Ln,Vehicles Travelling West, 39.878006,-105.011309,,,0
10013,100th Ave & York St,Vehicles Travelling East, 39.877727,-104.958489,,,0
10014,W 104th Ave & Croke Dr,Vehicles Travelling East, 39.885039,-104.999657,,,0
10016,W 104th Ave & Croke Dr,Vehicles Travelling West, 39.885319,-105.000391,,,0
10019,W 104th Ave & Huron St,Vehicles Travelling East, 39.885050,-104.996082,,,0
10020,W 104th Ave & Huron St,Vehicles Travelling West, 39.885332,-104.997422,,,0
10021,W 104th Ave & Livingston Dr,Vehicles Travelling East, 39.885038,-105.002857,,,0
10022,W 104th Ave & Livingston Dr,Vehicles Travelling West, 39.885307,-105.003771,,,0
10023,W 104th Ave & Melody Dr,Vehicles Travelling East, 39.885040,-104.992627,,,0
10024,W 104th Ave & Quivas St,Vehicles Travelling East, 39.885070,-105.007153,,,0
10025,W 104th Ave & Quivas St,Vehicles Travelling West, 39.885344,-105.006939,,,0
10028,106th & Melody Transfer Center Gate C,Vehicles Travelling East, 39.888627,-104.994739,,,0
10038,W 10th Ave & Decatur St,Vehicles Travelling West, 39.733039,-105.022107,,,0
10039,W 10th Ave & Depew St,Vehicles Travelling East, 39.733000,-105.057679,,,0
10040,W 10th Ave & Depew St,Vehicles Travelling West, 39.733130,-105.057576,,,0
10044,W 10th Ave & Federal Blvd,Vehicles Travelling East, 39.732946,-105.024758,,,0
10045,W 10th Ave & Federal Blvd,Vehicles Travelling West, 39.732985,-105.025626,,,0
10048,W 10th Ave & Gray St,Vehicles Travelling East, 39.733052,-105.061044,,,0
10049,W 10th Ave & Gray St,Vehicles Travelling West, 39.733120,-105.061687,,,0
10050,W 10th Ave & Hooker St,Vehicles Travelling East, 39.732913,-105.028345,,,0
10051,W 10th Ave & Hooker St,Vehicles Travelling West, 39.732976,-105.028970,,,0
10055,W 10th Ave & Jay St,Vehicles Travelling West, 39.733117,-105.065174,,,0
10056,Jersey St & 10th Ave,Vehicles Travelling North, 39.731453,-104.919403,,,0
10057,W 10th Ave & Kendall St,Vehicles Travelling East, 39.733051,-105.065219,,,0
10060,W 10th Ave & Julian St,Vehicles Travelling East, 39.732914,-105.030539,,,0
10061,W 10th Ave & Knox Ct,Vehicles Travelling West, 39.732994,-105.032475,,,0
10062,10th Ave & Leyden St,Vehicles Travelling East, 39.731631,-104.914705,,,0
10063,10th Ave & Leyden St,Vehicles Travelling West, 39.731722,-104.915604,,,0
10066,W 10th Ave & Meade St,Vehicles Travelling East, 39.732915,-105.036005,,,0
